"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-22","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"3.3",",,X","-3.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-23","6.6",",,X,2400","0.0",",,X,","0.0",",,X,",,,"5.6",",,X","2.2",",,X",,,"    1",",,W",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,"    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-24","0.3",",,X,2400","0.0",",,X,","0.0",",,X,",,,"8.3",",,X","1.1",",,X",,,"    1",",,W",,,,,,,,,,,,,"    1",",,X","    1",",,X",,,,,"    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-25","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"7.2",",,X","0.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-26","3.6",",,X,2400","0.0",",,X,","0.0",",,X,",,,"6.7",",,X","1.7",",,X",,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-27","39.6",",,X,2400","0.0",",,X,","0.0",",,X,",,,"8.3",",,X","2.2",",,X",,,"    1",",,W",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-28","0.0","T,,X,2400","0.0",",,X,","0.0",",,X,",,,"10.6",",,X","3.9",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-01","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"7.2",",,X","2.2",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-02","0.0","T,,X,2400","0.0","T,,X,","0.0",",,X,",,,"4.4",",,X","-0.6",",,X",,,,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-03","0.0","T,,X,2400","0.0","T,,X,","0.0",",,X,",,,"4.4",",,X","-1.7",",,X",,,,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-04","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"5.6",",,X","-2.8",",,X",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-05","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"9.4",",,X","-0.6",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-06","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"5.6",",,X","3.3",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-07","4.8",",,X,2400","0.0","T,,X,","0.0",",,X,",,,"3.3",",,X","0.6",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-08","13.7",",,X,2400","102.0",",,X,","51.0",",,X,",,,"5.6",",,X","-0.6",",,X",,,"    1",",,X","    1",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-09","0.0",",,X,2400","0.0",",,X,","51.0",",,X,",,,"12.8",",,X","1.7",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-10","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"10.0",",,X","2.2",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-11","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"12.2",",,X","4.4",",,X",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-12","20.1",",,X,2400","0.0",",,X,","0.0",",,X,",,,"13.9",",,X","6.1",",,X",,,"    1",",,W",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-13","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"11.1",",,X","3.3",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-14","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"5.0",",,X","-1.7",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-15","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"8.3",",,X","-1.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-16","3.0",",,X,2400","8.0",",,X,","0.0",",,X,",,,"5.0",",,X","0.0",",,X",,,"    1",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,
